PERFIL_NUTRICIONAL; MOTORISTA; CODRACAO; TIPO_RACAO; TRATO; DIAS_CONF; DATA_ENTR; DATA_CONSUMO; LOTE; CURRAL; CAB; LEITURA; MS_DIETA; PREVISTO; REALIZADO; HORA_INICIAL; HORA_FINAL
TT;LUCIO;10479;TERMINAÇÃO;4;57;03/12/2024;28/01/2025;11152;CUR-24;140;1;63,8252;731;740;16:42:07;16:42:41
TT;GUILHERME;10479;TERMINAÇÃO;1;68;22/11/2024;28/01/2025;11141;CUR-25;149;1;63,8252;899;910;09:36:53;09:37:16
TT;LUCIO;10479;TERMINAÇÃO;2;68;22/11/2024;28/01/2025;11141;CUR-25;149;1;63,8252;899;920;11:02:39;11:03:15
TT;GUILHERME;10479;TERMINAÇÃO;3;68;22/11/2024;28/01/2025;11141;CUR-25;149;1;63,8252;899;955;14:18:12;14:18:39
TT;LUCIO;10479;TERMINAÇÃO;4;68;22/11/2024;28/01/2025;11141;CUR-25;149;1;63,8252;811;850;16:42:46;16:43:24
TT;GUILHERME;10479;TERMINAÇÃO;1;68;22/11/2024;28/01/2025;11142;CUR-26;150;1;63,8252;730,25;765;09:37:17;09:37:43
TT;LUCIO;10479;TERMINAÇÃO;2;68;22/11/2024;28/01/2025;11142;CUR-26;150;1;63,8252;730,25;760;11:03:15;11:03:51
TT;GUILHERME;10479;TERMINAÇÃO;3;68;22/11/2024;28/01/2025;11142;CUR-26;150;1;63,8252;730,25;835;14:18:39;14:19:08
TT;LUCIO;10479;TERMINAÇÃO;4;68;22/11/2024;28/01/2025;11142;CUR-26;150;1;63,8252;561;570;16:43:28;16:44:04
TT;GUILHERME;10479;TERMINAÇÃO;1;65;25/11/2024;28/01/2025;11144;CUR-27;140;1;63,8252;754;750;15:54:00;15:54:00
TT;GUILHERME;10479;TERMINAÇÃO;2;65;25/11/2024;28/01/2025;11144;CUR-27;140;1;63,8252;754;750;15:54:00;15:54:00
TT;GUILHERME;10479;TERMINAÇÃO;3;65;25/11/2024;28/01/2025;11144;CUR-27;140;1;63,8252;754;750;15:54:00;15:54:00
TT;LUCIO;10479;TERMINAÇÃO;4;65;25/11/2024;28/01/2025;11144;CUR-27;140;1;63,8252;766;766;18:37:00;18:37:00
TT;GUILHERME;10479;TERMINAÇÃO;1;63;27/11/2024;28/01/2025;11146;CUR-28;139;1;63,8252;785,25;790;09:38:26;09:38:51
TT;GUILHERME;10479;TERMINAÇÃO;3;63;27/11/2024;28/01/2025;11146;CUR-28;139;1;63,8252;785,25;775;12:27:49;12:28:11
TT;GUILHERME;10479;TERMINAÇÃO;2;63;27/11/2024;28/01/2025;11146;CUR-28;139;1;63,8252;785,25;820;14:20:29;14:20:51
TT;GUILHERME;10479;TERMINAÇÃO;4;63;27/11/2024;28/01/2025;11146;CUR-28;139;1;63,8252;756;850;17:14:36;17:15:03
TT;GUILHERME;10479;TERMINAÇÃO;1;61;29/11/2024;28/01/2025;11148;CUR-29;146;1;63,8252;741,5001;755;09:38:51;09:39:15
TT;GUILHERME;10479;TERMINAÇÃO;3;61;29/11/2024;28/01/2025;11148;CUR-29;146;1;63,8252;741,5001;830;12:28:13;12:28:34
TT;GUILHERME;10479;TERMINAÇÃO;2;61;29/11/2024;28/01/2025;11148;CUR-29;146;1;63,8252;741,5001;800;14:20:51;14:21:13
TT;GUILHERME;10479;TERMINAÇÃO;4;61;29/11/2024;28/01/2025;11148;CUR-29;146;1;63,8252;581,0004;540;17:15:05;17:15:28
TT;GUILHERME;10479;TERMINAÇÃO;1;71;19/11/2024;28/01/2025;11135;CUR-3;150;1;63,8252;760;775;07:33:06;07:33:31
TT;GUILHERME;10479;TERMINAÇÃO;2;71;19/11/2024;28/01/2025;11135;CUR-3;150;1;63,8252;760;845;10:23:12;10:23:39
TT;GUILHERME;10479;TERMINAÇÃO;3;71;19/11/2024;28/01/2025;11135;CUR-3;150;1;63,8252;760;765;13:16:38;13:17:03
TT;GUILHERME;10479;TERMINAÇÃO;4;71;19/11/2024;28/01/2025;11135;CUR-3;150;1;63,8252;655;665;16:07:59;16:08:20
TT;GUILHERME;10479;TERMINAÇÃO;1;60;30/11/2024;28/01/2025;11149;CUR-30;145;1;63,8252;827,75;775;09:39:17;09:39:47
TT;GUILHERME;10479;TERMINAÇÃO;3;60;30/11/2024;28/01/2025;11149;CUR-30;145;1;63,8252;827,75;890;12:28:37;12:28:52
TT;GUILHERME;10479;TERMINAÇÃO;2;60;30/11/2024;28/01/2025;11149;CUR-30;145;1;63,8252;827,75;885;14:21:15;14:21:38
TT;GUILHERME;10479;TERMINAÇÃO;4;60;30/11/2024;28/01/2025;11149;CUR-30;145;1;63,8252;761;820;17:15:28;17:15:52
C;GUILHERME;10478;CRESCIMENTO;1;20;09/01/2025;28/01/2025;11191;CUR-31;140;1;61,3816;547,5;555;06:54:41;06:55:04
C;GUILHERME;10478;CRESCIMENTO;2;20;09/01/2025;28/01/2025;11191;CUR-31;140;1;61,3816;547,5;590;09:59:17;10:00:09
C;GUILHERME;10478;CRESCIMENTO;3;20;09/01/2025;28/01/2025;11191;CUR-31;140;1;61,3816;547,5;560;12:52:53;12:53:16
C;GUILHERME;10478;CRESCIMENTO;4;20;09/01/2025;28/01/2025;11191;CUR-31;140;1;61,3816;485;515;15:34:59;15:35:38
C;GUILHERME;10478;CRESCIMENTO;1;20;09/01/2025;28/01/2025;11190;CUR-32;135;1;61,3816;661,125;705;06:55:07;06:55:25
C;GUILHERME;10478;CRESCIMENTO;2;20;09/01/2025;28/01/2025;11190;CUR-32;135;1;61,3816;661,125;625;10:00:34;10:01:02
C;GUILHERME;10478;CRESCIMENTO;3;20;09/01/2025;28/01/2025;11190;CUR-32;135;1;61,3816;661,125;650;12:53:21;12:53:39
C;GUILHERME;10478;CRESCIMENTO;4;20;09/01/2025;28/01/2025;11190;CUR-32;135;1;61,3816;664,5;655;15:35:42;15:36:02
C;GUILHERME;10478;CRESCIMENTO;1;19;10/01/2025;28/01/2025;11192;CUR-33;151;1;61,3816;680;810;06:55:27;06:55:49
C;GUILHERME;10478;CRESCIMENTO;2;19;10/01/2025;28/01/2025;11192;CUR-33;151;1;61,3816;680;745;10:01:03;10:01:24
C;GUILHERME;10478;CRESCIMENTO;3;19;10/01/2025;28/01/2025;11192;CUR-33;151;1;61,3816;680;705;12:53:41;12:54:02
C;GUILHERME;10478;CRESCIMENTO;4;19;10/01/2025;28/01/2025;11192;CUR-33;151;1;61,3816;460;500;15:36:03;15:36:23
C;GUILHERME;10478;CRESCIMENTO;1;22;07/01/2025;28/01/2025;11189;CUR-34;133;1;61,3816;820;875;06:55:51;06:56:14
C;GUILHERME;10478;CRESCIMENTO;2;22;07/01/2025;28/01/2025;11189;CUR-34;133;1;61,3816;820;840;10:01:24;10:01:46
C;GUILHERME;10478;CRESCIMENTO;3;22;07/01/2025;28/01/2025;11189;CUR-34;133;1;61,3816;820;820;12:54:03;12:54:26
C;GUILHERME;10478;CRESCIMENTO;4;22;07/01/2025;28/01/2025;11189;CUR-34;133;1;61,3816;745;710;15:36:24;15:36:47
C;GUILHERME;10478;CRESCIMENTO;1;23;06/01/2025;28/01/2025;11187;CUR-35;134;1;61,3816;676,25;740;06:56:15;06:56:33
C;GUILHERME;10478;CRESCIMENTO;2;23;06/01/2025;28/01/2025;11187;CUR-35;134;1;61,3816;676,25;695;10:01:46;10:02:04
C;GUILHERME;10478;CRESCIMENTO;3;23;06/01/2025;28/01/2025;11187;CUR-35;134;1;61,3816;676,25;695;12:54:26;12:54:46
C;GUILHERME;10478;CRESCIMENTO;4;23;06/01/2025;28/01/2025;11187;CUR-35;134;1;61,3816;575;620;15:36:47;15:37:04
C;GUILHERME;10478;CRESCIMENTO;1;23;06/01/2025;28/01/2025;11188;CUR-36;133;1;61,3816;817,4375;810;08:28:47;08:29:10
C;GUILHERME;10478;CRESCIMENTO;2;23;06/01/2025;28/01/2025;11188;CUR-36;133;1;61,3816;817,4375;715;10:02:07;10:02:30
C;GUILHERME;10478;CRESCIMENTO;3;23;06/01/2025;28/01/2025;11188;CUR-36;133;1;61,3816;817,4375;850;12:54:47;12:55:09
C;GUILHERME;10478;CRESCIMENTO;4;23;06/01/2025;28/01/2025;11188;CUR-36;133;1;61,3816;894,75;895;15:37:07;15:37:32
C;GUILHERME;10478;CRESCIMENTO;1;19;10/01/2025;28/01/2025;11193;CUR-37;151;1;61,3816;712,375;695;08:29:12;08:29:34
C;GUILHERME;10478;CRESCIMENTO;2;19;10/01/2025;28/01/2025;11193;CUR-37;151;1;61,3816;712,375;700;10:02:30;10:02:52
C;GUILHERME;10478;CRESCIMENTO;3;19;10/01/2025;28/01/2025;11193;CUR-37;151;1;61,3816;712,375;700;12:55:10;12:55:29
C;LUCIO;10478;CRESCIMENTO;4;19;10/01/2025;28/01/2025;11193;CUR-37;151;1;61,3816;754,5;755;18:38:00;18:38:00
C;GUILHERME;10478;CRESCIMENTO;1;16;13/01/2025;28/01/2025;11197;CUR-38;144;1;61,3816;611,1563;590;06:57:15;06:57:48
C;GUILHERME;10478;CRESCIMENTO;2;16;13/01/2025;28/01/2025;11197;CUR-38;144;1;61,3816;611,1563;640;10:02:52;10:03:11
C;GUILHERME;10478;CRESCIMENTO;3;16;13/01/2025;28/01/2025;11197;CUR-38;144;1;61,3816;611,1563;625;12:55:30;12:55:50
C;GUILHERME;10478;CRESCIMENTO;4;16;13/01/2025;28/01/2025;11197;CUR-38;144;1;61,3816;589,6252;595;15:38:00;15:38:16
C;GUILHERME;10478;CRESCIMENTO;1;25;04/01/2025;28/01/2025;11185;CUR-39;151;1;61,3816;672,6562;730;08:30:01;08:30:58
C;GUILHERME;10478;CRESCIMENTO;2;25;04/01/2025;28/01/2025;11185;CUR-39;151;1;61,3816;672,6562;690;10:03:13;10:03:33
C;GUILHERME;10478;CRESCIMENTO;3;25;04/01/2025;28/01/2025;11185;CUR-39;151;1;61,3816;672,6562;725;12:55:52;12:56:11
C;GUILHERME;10478;CRESCIMENTO;4;25;04/01/2025;28/01/2025;11185;CUR-39;151;1;61,3816;545,6248;550;15:38:22;15:38:36
TT;GUILHERME;10479;TERMINAÇÃO;1;70;20/11/2024;28/01/2025;11139;CUR-4;144;1;63,8252;686,25;700;07:33:34;07:34:01
TT;GUILHERME;10479;TERMINAÇÃO;2;70;20/11/2024;28/01/2025;11139;CUR-4;144;1;63,8252;686,25;725;10:23:39;10:24:06
TT;GUILHERME;10479;TERMINAÇÃO;3;70;20/11/2024;28/01/2025;11139;CUR-4;144;1;63,8252;686,25;695;13:17:05;13:17:29
TT;GUILHERME;10479;TERMINAÇÃO;4;70;20/11/2024;28/01/2025;11139;CUR-4;144;1;63,8252;625;675;16:08:26;16:08:49
C;GUILHERME;10478;CRESCIMENTO;1;22;07/01/2025;28/01/2025;11186;CUR-40;146;1;61,3816;618,8438;655;06:58:10;06:58:31
C;GUILHERME;10478;CRESCIMENTO;2;22;07/01/2025;28/01/2025;11186;CUR-40;146;1;61,3816;618,8438;585;10:03:34;10:03:51
C;GUILHERME;10478;CRESCIMENTO;3;22;07/01/2025;28/01/2025;11186;CUR-40;146;1;61,3816;618,8438;645;12:56:13;12:56:36
C;GUILHERME;10478;CRESCIMENTO;4;22;07/01/2025;28/01/2025;11186;CUR-40;146;1;61,3816;590,3752;625;15:38:42;15:39:02
C;GUILHERME;10478;CRESCIMENTO;1;33;27/12/2024;28/01/2025;11179;CUR-41;150;1;61,3816;625,25;435;08:31:20;08:31:43
C;GUILHERME;10478;CRESCIMENTO;2;33;27/12/2024;28/01/2025;11179;CUR-41;150;1;61,3816;625,25;610;10:03:54;10:04:41
C;GUILHERME;10478;CRESCIMENTO;3;33;27/12/2024;28/01/2025;11179;CUR-41;150;1;61,3816;625,25;650;12:56:38;12:56:59
C;GUILHERME;10478;CRESCIMENTO;4;33;27/12/2024;28/01/2025;11179;CUR-41;150;1;61,3816;806;750;15:39:04;15:39:32
C;GUILHERME;10478;CRESCIMENTO;1;33;27/12/2024;28/01/2025;11180;CUR-42;147;1;61,3816;787,9688;780;06:58:57;06:59:35
C;GUILHERME;10478;CRESCIMENTO;2;33;27/12/2024;28/01/2025;11180;CUR-42;147;1;61,3816;787,9688;795;10:04:51;10:05:15
C;GUILHERME;10478;CRESCIMENTO;3;33;27/12/2024;28/01/2025;11180;CUR-42;147;1;61,3816;787,9688;785;12:57:00;12:57:24
